Time,ServiceID,PredictedCarbon,Action
5,S1,433.0475581221705,EXECUTE
5,S2,431.71735187397985,EXECUTE
10,S1,430.65619768383203,EXECUTE
10,S2,429.70696872607635,EXECUTE
15,S1,326.1344697628173,EXECUTE
15,S2,333.2691691491454,EXECUTE
20,S1,182.54311310614995,EXECUTE
20,S2,179.75206778706183,EXECUTE
25,S1,155.07096607480383,EXECUTE
25,S2,164.6484121642303,EXECUTE
